date,location,latitude,longitude,site_type,zone,pollutant_type,value,unit,status
2025-01-04,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,4.1,ugm-3,N
2025-01-05,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,1.4,ugm-3,N
2025-01-05,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,1.4,ugm-3,N
2025-01-05,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,1.5,ugm-3,N
2025-01-05,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,1.6,ugm-3,N
2025-01-05,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,1.7,ugm-3,N
2025-01-05,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,1.8,ugm-3,N
2025-01-05,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,2.3,ugm-3,N
2025-01-06,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,0.4,ugm-3,N
2025-01-06,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,0.4,ugm-3,N
2025-01-06,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,0.4,ugm-3,N
2025-01-06,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,0.4,ugm-3,N
2025-01-06,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,0.4,ugm-3,N
2025-01-06,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,0.5,ugm-3,N
2025-01-07,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,0.4,ugm-3,N
2025-01-07,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,0.4,ugm-3,N
2025-01-07,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,0.4,ugm-3,N
2025-01-07,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,0.5,ugm-3,N
2025-01-07,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,0.5,ugm-3,N
2025-01-07,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,0.5,ugm-3,N
2025-01-07,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,0.6,ugm-3,N
2025-01-08,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,1.5,ugm-3,N
2025-01-08,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,1.5,ugm-3,N
2025-01-08,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,1.6,ugm-3,N
2025-01-08,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,1.6,ugm-3,N
2025-01-08,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,1.7,ugm-3,N
2025-01-08,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,1.9,ugm-3,N
2025-01-08,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,2.2,ugm-3,N
2025-01-09,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,1.1,ugm-3,N
2025-01-09,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,1.1,ugm-3,N
2025-01-09,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,1.2,ugm-3,N
2025-01-09,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,1.3,ugm-3,N
2025-01-09,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,1.3,ugm-3,N
2025-01-09,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,1.4,ugm-3,N
2025-01-09,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,1.5,ugm-3,N
2025-01-10,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,1.2,ugm-3,N
2025-01-10,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,1.2,ugm-3,N
2025-01-10,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,1.2,ugm-3,N
2025-01-10,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,1.3,ugm-3,N
2025-01-10,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,1.4,ugm-3,N
2025-01-10,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,1.5,ugm-3,N
2025-01-10,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,1.7,ugm-3,N
2025-01-11,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,4.5,ugm-3,N
2025-01-11,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,4.5,ugm-3,N
2025-01-11,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,4.9,ugm-3,N
2025-01-11,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,5.1,ugm-3,N
2025-01-11,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,5.5,ugm-3,N
2025-01-11,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,5.9,ugm-3,N
2025-01-11,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,7.3,ugm-3,N
2025-01-12,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,3.3,ugm-3,N
2025-01-12,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,3.3,ugm-3,N
2025-01-12,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,3.6,ugm-3,N
2025-01-12,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,3.9,ugm-3,N
2025-01-12,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,4.2,ugm-3,N
2025-01-12,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,4.7,ugm-3,N
2025-01-12,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,6.0,ugm-3,N
2025-01-13,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,1.1,ugm-3,N
2025-01-13,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,1.1,ugm-3,N
2025-01-13,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,1.1,ugm-3,N
2025-01-13,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,1.2,ugm-3,N
2025-01-13,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,1.3,ugm-3,N
2025-01-13,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,1.4,ugm-3,N
2025-01-13,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,1.6,ugm-3,N
2025-01-14,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,0.7,ugm-3,N
2025-01-14,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,0.7,ugm-3,N
2025-01-14,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,0.7,ugm-3,N
2025-01-14,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,0.7,ugm-3,N
2025-01-14,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,0.7,ugm-3,N
2025-01-14,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,0.8,ugm-3,N
2025-01-14,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,0.8,ugm-3,N
2025-01-15,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,2.7,ugm-3,N
2025-01-15,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,2.8,ugm-3,N
2025-01-15,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,2.8,ugm-3,N
2025-01-15,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,2.9,ugm-3,N
2025-01-15,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,3.0,ugm-3,N
2025-01-15,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,3.1,ugm-3,N
2025-01-15,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,3.0,ugm-3,N
2025-01-16,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,5.4,ugm-3,N
2025-01-16,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,5.5,ugm-3,N
2025-01-16,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,5.5,ugm-3,N
2025-01-16,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,5.6,ugm-3,N
2025-01-16,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,5.9,ugm-3,N
2025-01-16,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,6.1,ugm-3,N
2025-01-16,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,6.2,ugm-3,N
2025-01-17,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,1.9,ugm-3,N
2025-01-17,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,1.9,ugm-3,N
2025-01-17,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,2.0,ugm-3,N
2025-01-17,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,2.1,ugm-3,N
2025-01-17,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,2.2,ugm-3,N
2025-01-17,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,2.4,ugm-3,N
2025-01-17,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,2.7,ugm-3,N
2025-01-18,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,2.5,ugm-3,N
2025-01-18,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,2.5,ugm-3,N
2025-01-18,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,2.7,ugm-3,N
2025-01-18,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,2.8,ugm-3,N
2025-01-18,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,2.9,ugm-3,N
2025-01-18,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,3.1,ugm-3,N
2025-01-18,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,3.8,ugm-3,N
2025-01-19,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,1.3,ugm-3,N
2025-01-19,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,1.3,ugm-3,N
2025-01-19,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,1.4,ugm-3,N
2025-01-19,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,1.5,ugm-3,N
2025-01-19,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,1.6,ugm-3,N
2025-01-19,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,1.8,ugm-3,N
2025-01-19,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,2.2,ugm-3,N
2025-01-20,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,2.6,ugm-3,N
2025-01-20,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,2.6,ugm-3,N
2025-01-20,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,2.7,ugm-3,N
2025-01-20,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,2.9,ugm-3,N
2025-01-20,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,3.0,ugm-3,N
2025-01-20,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,3.2,ugm-3,N
2025-01-20,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,3.2,ugm-3,N
2025-01-21,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,3.3,ugm-3,N
2025-01-21,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,3.3,ugm-3,N
2025-01-21,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,3.4,ugm-3,N
2025-01-21,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,3.6,ugm-3,N
2025-01-21,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,3.8,ugm-3,N
2025-01-21,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,4.1,ugm-3,N
2025-01-21,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,4.5,ugm-3,N
2025-01-22,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,2.6,ugm-3,N
2025-01-22,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,2.7,ugm-3,N
2025-01-22,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,2.8,ugm-3,N
2025-01-22,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,2.9,ugm-3,N
2025-01-22,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,3.1,ugm-3,N
2025-01-22,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,3.3,ugm-3,N
2025-01-22,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,3.7,ugm-3,N
2025-01-23,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,1.6,ugm-3,N
2025-01-23,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,1.6,ugm-3,N
2025-01-23,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,1.6,ugm-3,N
2025-01-23,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,1.7,ugm-3,N
2025-01-23,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,1.7,ugm-3,N
2025-01-23,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,1.8,ugm-3,N
2025-01-23,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,1.8,ugm-3,N
2025-01-24,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,0.2,ugm-3,N
2025-01-24,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,0.2,ugm-3,N
2025-01-24,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,0.3,ugm-3,N
2025-01-24,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,0.3,ugm-3,N
2025-01-24,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,0.3,ugm-3,N
2025-01-24,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,0.3,ugm-3,N
2025-01-24,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,0.3,ugm-3,N
2025-01-25,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,1.1,ugm-3,N
2025-01-25,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,1.1,ugm-3,N
2025-01-25,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,1.2,ugm-3,N
2025-01-25,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,1.2,ugm-3,N
2025-01-25,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,1.3,ugm-3,N
2025-01-25,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,1.4,ugm-3,N
2025-01-25,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,1.6,ugm-3,N
2025-01-26,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,0.9,ugm-3,N
2025-01-26,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,0.9,ugm-3,N
2025-01-26,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,1.0,ugm-3,N
2025-01-26,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,1.0,ugm-3,N
2025-01-26,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,1.1,ugm-3,N
2025-01-26,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,1.2,ugm-3,N
2025-01-26,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,1.4,ugm-3,N
2025-01-27,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,0.9,ugm-3,N
2025-01-27,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,0.9,ugm-3,N
2025-01-27,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,0.9,ugm-3,N
2025-01-27,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,1.0,ugm-3,N
2025-01-27,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,1.0,ugm-3,N
2025-01-27,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,1.1,ugm-3,N
2025-01-27,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,1.1,ugm-3,N
2025-01-28,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,0.9,ugm-3,N
2025-01-28,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,0.9,ugm-3,N
2025-01-28,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,0.9,ugm-3,N
2025-01-28,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,0.9,ugm-3,N
2025-01-28,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,1.0,ugm-3,N
2025-01-28,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,1.0,ugm-3,N
2025-01-28,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,1.0,ugm-3,N
2025-01-29,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,0.7,ugm-3,N
2025-01-29,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,0.7,ugm-3,N
2025-01-29,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,0.7,ugm-3,N
2025-01-29,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,0.8,ugm-3,N
2025-01-29,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,0.8,ugm-3,N
2025-01-29,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,0.9,ugm-3,N
2025-01-29,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,1.0,ugm-3,N
2025-01-30,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,1.3,ugm-3,N
2025-01-30,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,1.3,ugm-3,N
2025-01-30,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,1.4,ugm-3,N
2025-01-30,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,1.4,ugm-3,N
2025-01-30,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,1.5,ugm-3,N
2025-01-30,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,1.6,ugm-3,N
2025-01-30,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,1.8,ugm-3,N
2025-01-31,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,2.0,ugm-3,N
2025-01-31,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,2.0,ugm-3,N
2025-01-31,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,2.0,ugm-3,N
2025-01-31,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,2.1,ugm-3,N
2025-01-31,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,2.2,ugm-3,N
2025-01-31,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,2.3,ugm-3,N
2025-01-31,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,2.6,ugm-3,N
2025-02-01,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,1.2,ugm-3,N
2025-02-01,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,1.2,ugm-3,N
2025-02-01,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,1.3,ugm-3,N
2025-02-01,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,1.3,ugm-3,N
2025-02-01,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,1.4,ugm-3,N
2025-02-01,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,1.5,ugm-3,N
2025-02-01,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,1.7,ugm-3,N
2025-02-02,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,1.3,ugm-3,N
2025-02-02,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,1.3,ugm-3,N
2025-02-02,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,1.4,ugm-3,N
2025-02-02,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,1.4,ugm-3,N
2025-02-02,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,1.4,ugm-3,N
2025-02-02,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,1.5,ugm-3,N
2025-02-02,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,1.7,ugm-3,N
2025-02-03,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,0.6,ugm-3,N
2025-02-03,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,0.6,ugm-3,N
2025-02-03,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,0.6,ugm-3,N
2025-02-03,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,0.6,ugm-3,N
2025-02-03,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,0.6,ugm-3,N
2025-02-03,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,0.7,ugm-3,N
2025-02-03,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,0.8,ugm-3,N
2025-02-04,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,0.4,ugm-3,N
2025-02-04,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,0.4,ugm-3,N
2025-02-04,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,0.4,ugm-3,N
2025-02-04,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,yellow_pm_590nm,0.4,ugm-3,N
2025-02-04,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,green_pm_520nm,0.4,ugm-3,N
2025-02-04,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,blue_pm_470nm,0.5,ugm-3,N
2025-02-04,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,uv_pm_370nm,0.4,ugm-3,N
2025-02-05,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,black_carbon_880nm,0.9,ugm-3,N
2025-02-05,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,infrared_pm_950nm,0.9,ugm-3,N
2025-02-05,Newcastle Centre,54.97825,-1.610528,Urban Background,North East,red_pm_660nm,1.0,ugm-3,N
